day_utc,node_id,node_reward_type,region,dc_id,node_status,performance_multiplier,base_rewards_xdr_permyriad,adjusted_rewards_xdr_permyriad,subnet_assigned,subnet_assigned_failure_rate,num_blocks_proposed,num_blocks_failed,original_failure_rate,relative_failure_rate,extrapolated_failure_rate
2026-1-11,s4nii-ep5vi-2fps5-3gs6i-3twfu-pbreo-kalps-k26wy-ivkau-5u2qf-uqe,type1.1,"North America,US,Illinois",ch2,Assigned,1,329856.26283367554,329856.26283367554,uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,0.004573170731707318,5177,0,0,0,
2026-1-12,kmy7y-fabcb-mkpuf-4svks-7c7jx-e4zhz-376m4-yhoa6-nps6w-zpm2q-tae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,oad7l-2irg4-2s3uk-7j3pi-dmrnu-33eit-jd6zb-slf27-uecbd-ayrko-vqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ebtzo-pas2n-2vl7g-fewl3-gbgvx-ixnvi-fqud7-efxx7-cawfg-xqjli-5ae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,slvlq-vbkem-g26gq-ttgb7-zkvqq-3k2hu-ij4bo-axmcj-texuh-tu76u-wae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,63bsb-jbwja-suy6t-ftoim-ooxag-jiytd-rayru-4kgx5-tx5gb-2b2hj-qae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,yf2cg-6rxi2-5ieex-3swn4-xx3e7-qie7i-fwtkv-xi76w-prm3c-pdbvz-yqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,eyptb-kcbkl-xpjgi-jwkwk-65t5f-43n6h-heu3x-yz4ua-tovg4-dmnzu-2qe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ntu4j-zshsg-z6tnx-3veep-eajqc-dktjf-nhogl-j5aot-rqnk6-oawt3-tae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,fnrbk-fcjhe-lasnr-pkoim-w7quz-i7nfr-pv4tz-kl4jz-homax-6towj-kqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,dnzlh-asluj-sy4zh-brf5z-datjd-xilz7-myh6s-2rbr3-pr224-qmip2-vae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,4e2ty-mcqal-loqca-j2d5b-qgou4-n6y6h-yojne-kvqlg-ld4jx-rjree-3qe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,aj6th-bkul5-ehzbh-mylom-bf3uf-ei3vi-u5kqb-cpy3h-yegi7-cbzrx-wqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ja5ya-ok3gd-d5wwp-3qqfa-vt2b5-gr4ty-d566b-q4xxv-ruva3-ovqtx-dae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,zoz3k-zs7oo-fkv4l-jvyhd-qpzky-7jxpf-46spt-bzxqp-ld63n-dxo4n-pae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,yomjt-bk7tm-oklzv-hzqof-gfmfh-owb5j-zfmm5-rflzu-sdalq-gh4dp-xae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,c4wpu-73dyn-hmm33-sfkz3-pioei-nylbz-loegx-up6uj-nvqvu-d7zsq-iae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,cjgoh-vt4ur-x7byp-ri25g-ikqmh-prfa7-cd34u-7j2nc-ecdru-yaaqf-iqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,qqf2c-pemme-z3jjj-4mary-242f7-t4jwr-fqyqj-plih4-2ctly-l532i-fae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ccosg-l4vd4-wl6t2-jmrbs-zai42-zctdm-svvgu-fb3zg-jmot3-cjn64-2qe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,vjoxy-gu5gj-5xha7-36uu4-rifa7-6dj2u-z2oid-lspfa-a6l3q-6t27d-mqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,m2hxm-2nono-agspa-xjiq6-igu5l-6wrym-2xone-gifis-sjcg6-juft5-oae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,lznu4-p5ytf-od4bl-grhpc-kfovt-sla4b-kng2p-ab22m-4tdlq-bxtfj-wae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,lqn3t-6owaa-5y7lz-yjvpu-wt4tz-ilcnj-bdr36-mwc27-54szt-hspos-yqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ucty3-763du-zv55t-ym4zu-kpzvd-52x35-i5scw-wtujv-jc2ii-o2la2-uae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,faagt-367l7-6h7sq-fqen3-2pn5m-cvfbr-dsfme-zv5jv-p6fj7-owatn-oqe,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,ufgcf-ppfyc-5b5ub-oeabr-x3ao7-icnls-6efbb-twe24-iuupg-4ly5n-6ae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,hjyoa-cp5ty-2tgzm-faroj-kqucq-y34ll-udlth-3bb54-vyohg-vi3uh-wae,type1.1,"North America,US,Illinois",ch2,Unassigned,1,329856.26283367554,329856.26283367554,,,,,,,0
2026-1-12,s4nii-ep5vi-2fps5-3gs6i-3twfu-pbreo-kalps-k26wy-ivkau-5u2qf-uqe,type1.1,"North America,US,Illinois",ch2,Assigned,1,329856.26283367554,329856.26283367554,uzr34-akd3s-xrdag-3ql62-ocgoh-ld2ao-tamcv-54e7j-krwgb-2gm4z-oqe,0.003435114503816794,5297,1,0.0001887504718761797,0,
